symbol,lookback,fib_level,require_candle_direction,allow_shorts,markov_gate,markov_window,markov_threshold,min_train,train_bars,train_trades,train_long_trades,train_short_trades,train_wins,train_losses,train_win_rate,train_gross_total_return,train_net_total_return,train_annualized_return,train_sharpe,train_max_drawdown,train_avg_trade_return_net,train_exposure,test_bars,test_trades,test_long_trades,test_short_trades,test_wins,test_losses,test_win_rate,test_gross_total_return,test_net_total_return,test_annualized_return,test_sharpe,test_max_drawdown,test_avg_trade_return_net,test_exposure
QQQ,3,0.382,True,False,long_nonnegative,20,0.05,126,753,19,19,0,11,8,0.5789473684210527,0.05452801957575093,0.034725577046128775,0.01148958724224225,0.5619848018878651,-0.021170357199044032,0.0018303821289597831,0.025232403718459494,503,21,21,0,12,9,0.5714285714285714,0.002232017421405441,-0.018605171747090088,-0.009364755944026304,-0.21051871382421014,-0.05184644604124966,-0.0008146827806609121,0.041749502982107355
QQQ,3,0.382,True,False,long_nonnegative,20,0.05,252,753,23,23,0,13,10,0.5652173913043478,0.06674449096696367,0.04254343003198069,0.014040766051355291,0.49129115719082866,-0.02254519768720742,0.0018666842920058472,0.03054448871181939,503,21,21,0,12,9,0.5714285714285714,0.002232017421405441,-0.018605171747090088,-0.009364755944026304,-0.21051871382421014,-0.05184644604124966,-0.0008146827806609121,0.041749502982107355
QQQ,3,0.382,True,False,long_nonnegative,40,0.03,126,753,20,20,0,11,9,0.55,0.04809124243890106,0.027375000092859203,0.009079168941120042,0.4557129240916008,-0.021170357199044032,0.0013810928391253308,0.02656042496679947,503,20,20,0,11,9,0.55,-0.004215532735100225,-0.023948900306015264,-0.012070820637839597,-0.2791725658764061,-0.05700917471952849,-0.0011291591735882566,0.039761431411530816
QQQ,3,0.382,True,False,long_nonnegative,40,0.03,252,753,25,25,0,14,11,0.56,0.07849343181787805,0.05193024231364651,0.017087178175589246,0.5720802188790718,-0.02254519768720742,0.002080049295376112,0.033200531208499334,503,20,20,0,11,9,0.55,-0.004215532735100225,-0.023948900306015264,-0.012070820637839597,-0.2791725658764061,-0.05700917471952849,-0.0011291591735882566,0.039761431411530816
QQQ,3,0.382,True,False,long_nonnegative,40,0.05,126,753,22,22,0,12,10,0.5454545454545454,0.06086741493524528,0.03783230896095424,0.01250492910988621,0.5610026482092304,-0.021170357199044032,0.0017225915541763772,0.029216467463479414,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,False,long_nonnegative,40,0.05,252,753,26,26,0,14,12,0.5384615384615384,0.07315732680467124,0.04567363481141418,0.015058668814029064,0.503367758839357,-0.02254519768720742,0.0017712881714530351,0.034528552456839307,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,False,directional,20,0.03,126,753,15,15,0,9,6,0.6,0.04210433564628935,0.026623322858120524,0.00883203127251786,0.41005316831916716,-0.028147506818913426,0.001800013884101448,0.0199203187250996,503,18,18,0,10,8,0.5555555555555556,-0.012564380508792605,-0.03020172809544419,-0.015246657034098887,-0.37130327924956136,-0.05629968832145238,-0.0016171517932720117,0.03578528827037773
QQQ,3,0.382,True,False,directional,20,0.03,252,753,12,12,0,8,4,0.6666666666666666,0.06904531670563796,0.05635714273650416,0.018517617826016908,1.0482426497876633,-0.014450132884928024,0.004607500801478315,0.01593625498007968,503,18,18,0,10,8,0.5555555555555556,-0.012564380508792605,-0.03020172809544419,-0.015246657034098887,-0.37130327924956136,-0.05629968832145238,-0.0016171517932720117,0.03578528827037773
QQQ,3,0.382,True,False,directional,20,0.05,126,753,10,10,0,5,5,0.5,0.008028749362239962,-0.001998680154531085,-0.0006693262406802791,-0.03495323409289917,-0.019645585178216463,-0.0001633336654646703,0.013280212483399735,503,21,21,0,12,9,0.5714285714285714,0.002232017421405441,-0.018605171747090088,-0.009364755944026304,-0.21051871382421014,-0.05184644604124966,-0.0008146827806609121,0.041749502982107355
QQQ,3,0.382,True,False,directional,20,0.05,252,753,9,9,0,5,4,0.5555555555555556,0.027181142854797002,0.018000536088668806,0.00598836640638889,0.5614893252862736,-0.014450132884927913,0.002001360947063306,0.01195219123505976,503,21,21,0,12,9,0.5714285714285714,0.002232017421405441,-0.018605171747090088,-0.009364755944026304,-0.21051871382421014,-0.05184644604124966,-0.0008146827806609121,0.041749502982107355
QQQ,3,0.382,True,False,directional,40,0.03,126,753,12,12,0,7,5,0.5833333333333334,0.041506442906882324,0.02911842585486979,0.009651912561322806,0.680708787642907,-0.016590426030479444,0.0024170510842052113,0.01593625498007968,503,20,20,0,11,9,0.55,-0.004215532735100225,-0.023948900306015264,-0.012070820637839597,-0.2791725658764061,-0.05700917471952849,-0.0011291591735882566,0.039761431411530816
QQQ,3,0.382,True,False,directional,40,0.03,252,753,12,12,0,7,5,0.5833333333333334,0.041506442906882324,0.02911842585486979,0.009651912561322806,0.680708787642907,-0.016590426030479444,0.0024170510842052113,0.01593625498007968,503,20,20,0,11,9,0.55,-0.004215532735100225,-0.023948900306015264,-0.012070820637839597,-0.2791725658764061,-0.05700917471952849,-0.0011291591735882566,0.039761431411530816
QQQ,3,0.382,True,False,directional,40,0.05,126,753,14,14,0,8,6,0.5714285714285714,0.05420234707231364,0.039593480474691356,0.013079617158575196,0.7552546641115604,-0.016590426030479888,0.0028056978871311583,0.01859229747675963,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,False,directional,40,0.05,252,753,13,13,0,7,6,0.5384615384615384,0.036353339895475845,0.02299749710418797,0.007638232317883631,0.5258567693558647,-0.016590426030479888,0.0017736056218337418,0.017264276228419653,503,22,22,0,12,10,0.5454545454545454,-0.02077921689365847,-0.04211937929332277,-0.021328105733936953,-0.466662443640516,-0.07456419308009843,-0.0018667420735211154,0.0437375745526839
QQQ,3,0.382,True,True,off,20,0.03,126,753,48,29,19,27,21,0.5625,0.19792595781783962,0.14195654948267178,0.04542549333252932,0.7751621242023551,-0.06377685758230511,0.0028753773560070625,0.06374501992031872,503,36,22,14,17,19,0.4722222222222222,0.01058116852874158,-0.025163871889650302,-0.012687113132663685,-0.16807221849155485,-0.09129076894237187,-0.0005956373717453359,0.07157057654075547
QQQ,3,0.382,True,True,off,20,0.03,252,753,48,29,19,27,21,0.5625,0.19792595781783962,0.14195654948267178,0.04542549333252932,0.7751621242023551,-0.06377685758230511,0.0028753773560070625,0.06374501992031872,503,36,22,14,17,19,0.4722222222222222,0.01058116852874158,-0.025163871889650302,-0.012687113132663685,-0.16807221849155485,-0.09129076894237187,-0.0005956373717453359,0.07157057654075547
QQQ,3,0.382,True,True,off,20,0.05,126,753,48,29,19,27,21,0.5625,0.19792595781783962,0.14195654948267178,0.04542549333252932,0.7751621242023551,-0.06377685758230511,0.0028753773560070625,0.06374501992031872,503,36,22,14,17,19,0.4722222222222222,0.01058116852874158,-0.025163871889650302,-0.012687113132663685,-0.16807221849155485,-0.09129076894237187,-0.0005956373717453359,0.07157057654075547
QQQ,3,0.382,True,True,off,20,0.05,252,753,48,29,19,27,21,0.5625,0.19792595781783962,0.14195654948267178,0.04542549333252932,0.7751621242023551,-0.06377685758230511,0.0028753773560070625,0.06374501992031872,503,36,22,14,17,19,0.4722222222222222,0.01058116852874158,-0.025163871889650302,-0.012687113132663685,-0.16807221849155485,-0.09129076894237187,-0.0005956373717453359,0.07157057654075547
QQQ,3,0.382,True,True,off,40,0.03,126,753,48,29,19,27,21,0.5625,0.19792595781783962,0.14195654948267178,0.04542549333252932,0.7751621242023551,-0.06377685758230511,0.0028753773560070625,0.06374501992031872,503,36,22,14,17,19,0.4722222222222222,0.01058116852874158,-0.025163871889650302,-0.012687113132663685,-0.16807221849155485,-0.09129076894237187,-0.0005956373717453359,0.07157057654075547
