vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,test_sharpe,test_trades,test_net_return,test_max_drawdown,test_win_rate,gate
120,240,1.5,30,60,1.0,0.8,15,-32.376122,22,-0.027404,-0.027404,0.1364,no_go
120,240,1.5,30,60,1.0,0.8,20,-32.621834,22,-0.02787,-0.02787,0.1364,no_go
60,240,1.5,35,70,1.0,0.8,20,-32.741675,18,-0.027232,-0.027232,0.1111,no_go
90,240,1.0,25,65,1.0,0.8,20,-32.787037,17,-0.024803,-0.024803,0.1176,no_go
60,180,1.0,25,65,1.0,0.8,20,-32.88898,17,-0.02512,-0.02512,0.1176,no_go
60,240,1.0,25,65,1.0,0.8,20,-32.88898,17,-0.02512,-0.02512,0.1176,no_go
90,180,1.0,25,65,1.0,0.8,20,-32.88898,17,-0.02512,-0.02512,0.1176,no_go
90,240,1.0,30,65,1.0,0.8,20,-33.064628,21,-0.027786,-0.027786,0.1429,no_go
60,180,1.0,30,65,1.0,0.8,20,-33.183113,21,-0.028103,-0.028103,0.1429,no_go
60,240,1.0,30,65,1.0,0.8,20,-33.183113,21,-0.028103,-0.028103,0.1429,no_go
90,180,1.0,30,65,1.0,0.8,20,-33.183113,21,-0.028103,-0.028103,0.1429,no_go
120,240,1.5,35,70,1.0,0.8,15,-33.183114,19,-0.027487,-0.027487,0.0526,no_go
60,240,1.5,35,70,1.0,0.8,15,-33.194749,18,-0.027629,-0.027629,0.0556,no_go
90,180,1.5,35,70,1.0,0.8,15,-33.286943,19,-0.027778,-0.027778,0.0526,no_go
120,180,1.0,30,65,1.0,0.8,15,-33.293527,20,-0.027243,-0.027243,0.1,no_go
120,180,1.0,25,65,1.0,0.8,15,-33.367021,16,-0.024335,-0.024335,0.0625,no_go
90,240,1.5,25,60,1.0,0.8,15,-33.407297,19,-0.025909,-0.025909,0.1053,no_go
90,240,1.5,25,60,1.0,0.8,20,-33.438833,19,-0.026298,-0.026298,0.1053,no_go
90,240,1.5,30,60,1.0,0.8,15,-33.522947,23,-0.028813,-0.028813,0.1304,no_go
90,240,1.5,30,60,1.0,0.8,20,-33.759115,23,-0.029277,-0.029277,0.1304,no_go
120,240,1.5,35,70,1.0,0.8,20,-33.938449,19,-0.028918,-0.028918,0.1053,no_go
60,180,1.5,35,70,1.0,0.8,20,-34.027616,19,-0.029126,-0.029126,0.1053,no_go
90,180,1.5,35,70,1.0,0.8,20,-34.040898,19,-0.029208,-0.029208,0.1053,no_go
90,240,1.0,30,65,1.0,0.8,15,-34.375096,21,-0.028434,-0.028434,0.0952,no_go
60,180,1.5,35,70,1.0,0.8,15,-34.467264,19,-0.029522,-0.029522,0.0526,no_go
60,180,1.0,30,65,1.0,0.8,15,-34.480697,21,-0.028751,-0.028751,0.0952,no_go
60,240,1.0,30,65,1.0,0.8,15,-34.480697,21,-0.028751,-0.028751,0.0952,no_go
90,180,1.0,30,65,1.0,0.8,15,-34.480697,21,-0.028751,-0.028751,0.0952,no_go
90,240,1.0,25,65,1.0,0.8,15,-34.525368,17,-0.025529,-0.025529,0.0588,no_go
60,180,1.0,25,65,1.0,0.8,15,-34.604649,17,-0.025847,-0.025847,0.0588,no_go
60,240,1.0,25,65,1.0,0.8,15,-34.604649,17,-0.025847,-0.025847,0.0588,no_go
90,180,1.0,25,65,1.0,0.8,15,-34.604649,17,-0.025847,-0.025847,0.0588,no_go
60,240,1.5,25,60,1.0,0.8,15,-35.147987,20,-0.029054,-0.029054,0.1,no_go
60,240,1.5,25,60,1.0,0.8,20,-35.183701,20,-0.029442,-0.029442,0.1,no_go
60,240,1.5,30,60,1.0,0.8,15,-35.284741,24,-0.031948,-0.031948,0.125,no_go
60,240,1.5,30,60,1.0,0.8,20,-35.509477,24,-0.032412,-0.032412,0.125,no_go
120,180,1.5,35,70,1.0,0.8,15,-35.556049,21,-0.030634,-0.030634,0.0476,no_go
120,180,1.5,25,60,1.0,0.8,20,-35.800426,21,-0.029358,-0.029358,0.0952,no_go
120,180,1.5,25,60,1.0,0.8,15,-35.87174,21,-0.029277,-0.029277,0.0952,no_go
120,180,1.5,30,60,1.0,0.8,15,-35.908447,25,-0.03217,-0.03217,0.12,no_go
