vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,test_sharpe,test_trades,test_net_return,test_max_drawdown,test_win_rate,gate
65,390,2.5,35,62,1.0,0.8,25,9.121455,9,0.012968,-0.005419,0.5556,no_go
60,390,2.5,32,65,1.0,0.8,22,8.990303,7,0.010997,-0.003571,0.5714,no_go
60,390,2.5,32,68,1.0,0.8,22,8.990303,7,0.010997,-0.003571,0.5714,no_go
65,390,2.5,32,65,1.0,0.8,22,8.990303,7,0.010997,-0.003571,0.5714,no_go
65,390,2.5,32,68,1.0,0.8,22,8.990303,7,0.010997,-0.003571,0.5714,no_go
60,330,2.5,32,68,1.0,0.8,25,8.895794,9,0.012312,-0.003571,0.5556,no_go
60,330,2.5,35,68,1.0,0.8,25,8.895794,9,0.012312,-0.003571,0.5556,no_go
60,360,2.5,32,68,1.0,0.8,25,8.895794,9,0.012312,-0.003571,0.5556,no_go
65,330,2.5,32,68,1.0,0.8,25,8.895794,9,0.012312,-0.003571,0.5556,no_go
65,360,2.5,32,68,1.0,0.8,25,8.895794,9,0.012312,-0.003571,0.5556,no_go
50,390,2.5,32,62,1.0,0.8,22,8.830332,10,0.011404,-0.005419,0.6,go
50,390,2.5,35,62,1.0,0.8,22,8.830332,10,0.011404,-0.005419,0.6,go
50,390,2.5,38,62,1.0,0.8,22,8.830332,10,0.011404,-0.005419,0.6,go
50,330,2.0,32,65,1.0,0.8,25,8.757422,11,0.012385,-0.003571,0.5455,go
50,330,2.0,35,65,1.0,0.8,25,8.757422,11,0.012385,-0.003571,0.5455,go
50,360,2.0,32,65,1.0,0.8,25,8.757422,11,0.012385,-0.003571,0.5455,go
50,360,2.0,35,65,1.0,0.8,25,8.757422,11,0.012385,-0.003571,0.5455,go
50,390,2.0,32,65,1.0,0.8,25,8.757422,11,0.012385,-0.003571,0.5455,go
50,390,2.0,35,65,1.0,0.8,25,8.757422,11,0.012385,-0.003571,0.5455,go
50,330,2.5,32,65,1.0,0.8,22,8.646177,9,0.010895,-0.003571,0.5556,no_go
50,330,2.5,35,65,1.0,0.8,22,8.646177,9,0.010895,-0.003571,0.5556,no_go
50,330,2.5,38,65,1.0,0.8,22,8.646177,9,0.010895,-0.003571,0.5556,no_go
50,390,2.5,32,62,1.0,0.8,20,8.598289,10,0.010216,-0.005419,0.6,go
50,390,2.5,35,62,1.0,0.8,20,8.598289,10,0.010216,-0.005419,0.6,go
50,390,2.5,38,62,1.0,0.8,20,8.598289,10,0.010216,-0.005419,0.6,go
60,360,2.5,35,62,1.0,0.8,25,8.47751,13,0.012469,-0.005419,0.5385,go
65,330,2.5,35,62,1.0,0.8,25,8.47751,13,0.012469,-0.005419,0.5385,go
65,360,2.5,35,62,1.0,0.8,25,8.47751,13,0.012469,-0.005419,0.5385,go
60,390,2.5,35,62,1.0,0.8,22,8.456295,9,0.010923,-0.005419,0.5556,no_go
