stage,z_window,z_threshold,rsi_percentile,rsi_lookback,hold,stop_atr,entry_type,use_volume,vol_window,vol_threshold,trades,wins,losses,win_rate,gross_total_return,net_total_return,avg_trade_return_net,sharpe_per_bar,max_drawdown,exposure,gate
2,360,3.0,5,50,10,1.5,and,True,20,1.5,40,9,31,0.225,0.02149038822213134,-0.026386313776448733,-0.0006657476633803242,-9.13047602063505,-0.028049700456961202,0.013541666666666667,no_go
2,360,3.0,5,30,25,1.5,and,True,20,1.0,46,15,31,0.32608695652173914,0.026253835671248504,-0.02886233381568648,-0.0006338850609717564,-9.291372883982627,-0.0339254799899158,0.03492063492063492,no_go
2,360,3.0,5,30,10,1.0,and,True,20,1.0,47,12,35,0.2553191489361702,0.028533637879133655,-0.027870323880500147,-0.0005988886023097827,-9.337773959467288,-0.02953117517898607,0.013938492063492064,no_go
2,360,3.0,5,50,15,1.5,and,True,20,1.0,42,12,30,0.2857142857142857,0.023389522813496155,-0.026913631913261238,-0.0006469562934984925,-9.337783671510232,-0.027883328241322336,0.019642857142857142,no_go
2,360,3.0,5,50,20,0.8,and,True,20,1.0,43,9,34,0.20930232558139536,0.02502345581108134,-0.026527709449287284,-0.0006228192539467869,-9.445541434102294,-0.029165496844227423,0.019196428571428573,no_go
2,360,3.0,5,50,10,1.5,and,True,20,2.0,37,8,29,0.21621621621621623,0.017535069750296728,-0.026660937870317758,-0.0007276057310686369,-9.648784060438018,-0.028323855364677186,0.012351190476190476,no_go
1,360,3.0,5,50,10,0.8,and,True,20,1.5,40,7,33,0.175,0.021381093490985714,-0.026490597728944687,-0.0006687075026030624,-9.674875466099902,-0.028153806243784163,0.010565476190476191,no_go
2,360,3.0,5,50,10,0.8,and,True,20,1.5,40,7,33,0.175,0.021381093490985714,-0.026490597728944687,-0.0006687075026030624,-9.674875466099902,-0.028153806243784163,0.010565476190476191,no_go
2,360,3.0,5,50,20,1.0,and,True,20,1.0,42,10,32,0.23809523809523808,0.02238925150772686,-0.027865877117819293,-0.0006702687931217773,-9.677874219684654,-0.030500038521714234,0.019345238095238096,no_go
2,360,3.0,5,30,20,1.0,and,True,20,1.0,47,12,35,0.2553191489361702,0.026570240586914595,-0.029728281109204335,-0.0006394769016384578,-9.752511864169318,-0.03235739601529908,0.02242063492063492,no_go
1,360,3.0,5,50,10,1.0,and,True,20,1.5,40,8,32,0.2,0.02021431649513694,-0.027604028439725203,-0.0006971821526150932,-9.824891830666907,-0.02926533469513659,0.01121031746031746,no_go
2,360,3.0,5,50,10,1.0,and,True,20,1.5,40,8,32,0.2,0.02021431649513694,-0.027604028439725203,-0.0006971821526150932,-9.824891830666907,-0.02926533469513659,0.01121031746031746,no_go
2,360,3.0,5,30,20,0.8,and,True,20,1.0,49,11,38,0.22448979591836735,0.029328596198859413,-0.029451572751494903,-0.0006076626848017744,-9.870770021136314,-0.03208143744556524,0.02217261904761905,no_go
2,360,3.0,5,20,20,1.5,and,True,20,1.0,54,17,37,0.3148148148148148,0.03112099299000537,-0.033578998675612315,-0.000629652076117815,-9.874002924390036,-0.03755759191610941,0.03229166666666667,no_go
1,360,3.0,5,50,25,1.5,and,True,20,1.5,40,12,28,0.3,0.018592128172527866,-0.02915204973064489,-0.0007367477094850624,-9.898721610968037,-0.03244042825088855,0.026984126984126985,no_go
2,360,3.0,5,50,25,1.5,and,True,20,1.5,40,12,28,0.3,0.018592128172527866,-0.02915204973064489,-0.0007367477094850624,-9.898721610968037,-0.03244042825088855,0.026984126984126985,no_go
1,360,3.0,5,30,10,1.5,and,True,20,1.5,44,10,34,0.22727272727272727,0.023689571810141752,-0.028962682439629628,-0.0006653790082478412,-9.908174756847625,-0.031229346067138453,0.016121031746031748,no_go
2,360,3.0,5,30,10,1.5,and,True,20,1.5,44,10,34,0.22727272727272727,0.023689571810141752,-0.028962682439629628,-0.0006653790082478412,-9.908174756847625,-0.031229346067138453,0.016121031746031748,no_go
2,360,3.0,5,30,10,0.8,and,True,20,1.0,49,11,38,0.22448979591836735,0.029701638404034947,-0.029099406153477836,-0.0006003445851477039,-9.927523458127435,-0.030758157605678682,0.01378968253968254,no_go
2,360,3.0,5,30,10,1.5,and,True,20,2.0,40,9,31,0.225,0.020093888658925918,-0.027718947381975334,-0.0007001818663083844,-9.954138719120992,-0.029988514223363127,0.014186507936507936,no_go
2,360,3.0,5,30,15,1.5,and,True,20,2.0,40,11,29,0.275,0.018939666599142146,-0.028820394272463856,-0.0007284120264275398,-10.147260671997316,-0.031186686546362696,0.019345238095238096,no_go
1,360,3.0,5,50,10,0.5,and,True,20,1.5,43,7,36,0.16279069767441862,0.024743136128432486,-0.0267942363589333,-0.000629468673999913,-10.147449111839322,-0.0267942363589333,0.009871031746031746,no_go
2,360,3.0,5,50,10,0.5,and,True,20,1.5,43,7,36,0.16279069767441862,0.024743136128432486,-0.0267942363589333,-0.000629468673999913,-10.147449111839322,-0.0267942363589333,0.009871031746031746,no_go
2,360,3.0,5,50,25,1.0,and,True,20,1.0,42,10,32,0.23809523809523808,0.021072534393673514,-0.029119372197350946,-0.0007010051244003447,-10.15307959727328,-0.03240786140032159,0.022817460317460316,no_go
2,360,3.0,10,20,25,1.5,and,True,20,2.0,50,16,34,0.32,0.02584193515121891,-0.033903807263579555,-0.000686870872404631,-10.179957431205741,-0.037176091010794776,0.033482142857142856,no_go
2,360,3.0,5,20,15,1.5,and,True,20,1.0,54,16,38,0.2962962962962963,0.031035743176582864,-0.03365898522887978,-0.0006313430564055352,-10.184471734631234,-0.03601348821032524,0.025992063492063493,no_go
2,360,3.0,15,30,10,1.5,and,True,20,2.0,53,15,38,0.2830188679245283,0.030735956436063416,-0.03277962531877632,-0.0006262459240426966,-10.201970631340435,-0.034432089238634944,0.017956349206349205,no_go
2,360,3.0,5,20,10,1.5,and,True,20,1.0,54,15,39,0.2777777777777778,0.031592840089343266,-0.03313621183210724,-0.0006214250253827338,-10.210512550979814,-0.035393133313664116,0.018849206349206348,no_go
2,360,3.0,5,50,25,0.8,and,True,20,1.0,43,9,34,0.20930232558139536,0.022646343027727944,-0.02878797728569371,-0.0006768696680748101,-10.24683263276165,-0.03207758896300117,0.02261904761904762,no_go
1,360,3.0,5,50,20,1.5,and,True,20,1.5,40,11,29,0.275,0.017681310421910235,-0.030021213827616244,-0.000759191276009323,-10.292546077226437,-0.03264953498309309,0.02286706349206349,no_go
2,360,3.0,5,50,20,1.5,and,True,20,1.5,40,11,29,0.275,0.017681310421910235,-0.030021213827616244,-0.000759191276009323,-10.292546077226437,-0.03264953498309309,0.02286706349206349,no_go
2,360,3.0,10,50,10,1.5,and,True,20,1.0,56,16,40,0.2857142857142857,0.033141399482483624,-0.034005647015597384,-0.0006152039226057336,-10.295507309582728,-0.0356560163180637,0.019791666666666666,no_go
1,360,3.0,5,30,20,1.5,and,True,20,1.5,44,12,32,0.2727272727272727,0.02070567960946712,-0.03179650826305169,-0.0007315089514749569,-10.325771106265984,-0.03578243971774009,0.027083333333333334,no_go
2,360,3.0,5,30,20,1.5,and,True,20,1.5,44,12,32,0.2727272727272727,0.02070567960946712,-0.03179650826305169,-0.0007315089514749569,-10.325771106265984,-0.03578243971774009,0.027083333333333334,no_go
1,360,3.0,5,50,15,1.5,and,True,20,1.5,40,11,29,0.275,0.017854925297769775,-0.02985553547067299,-0.000754982106015993,-10.344579216259744,-0.03082230014418552,0.018452380952380953,no_go
2,360,3.0,5,50,15,1.5,and,True,20,1.5,40,11,29,0.275,0.017854925297769775,-0.02985553547067299,-0.000754982106015993,-10.344579216259744,-0.03082230014418552,0.018452380952380953,no_go
2,360,3.0,10,30,20,1.5,and,True,20,2.0,51,15,36,0.29411764705882354,0.026156308040054865,-0.034767060113016224,-0.000690905363124194,-10.39708680355488,-0.03738252159736377,0.029513888888888888,no_go
2,360,3.0,5,30,10,0.5,and,True,20,1.0,51,10,41,0.19607843137254902,0.03190896452182823,-0.02934937884194555,-0.0005820174228427557,-10.410994081857421,-0.02934937884194555,0.0125,no_go
2,360,3.0,5,50,10,0.8,and,True,20,2.0,37,6,31,0.16216216216216217,0.01679080749159123,-0.02737371601170524,-0.0007476721118857104,-10.434773365634666,-0.02903541574825863,0.009424603174603174,no_go
2,360,3.0,5,50,15,1.5,and,True,20,2.0,37,10,27,0.2702702702702703,0.014891883874440959,-0.029192351210155953,-0.000797929969984593,-10.471970438364746,-0.030159776757526457,0.016765873015873015,no_go
