symbol,strategy,vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_period,atr_stop,max_hold,markov_gate,train_bars,train_trades,train_long_trades,train_short_trades,train_wins,train_losses,train_win_rate,train_gross_total_return,train_net_total_return,train_avg_trade_return_net,train_median_trade_return_net,train_profit_factor,train_sharpe_per_bar,train_max_drawdown,train_exposure,train_trades_per_day,train_fee_to_gross_profit,test_bars,test_trades,test_long_trades,test_short_trades,test_wins,test_losses,test_win_rate,test_gross_total_return,test_net_total_return,test_avg_trade_return_net,test_median_trade_return_net,test_profit_factor,test_sharpe_per_bar,test_max_drawdown,test_exposure,test_trades_per_day,test_fee_to_gross_profit,all_bars,all_trades,all_long_trades,all_short_trades,all_wins,all_losses,all_win_rate,all_gross_total_return,all_net_total_return,all_avg_trade_return_net,all_median_trade_return_net,all_profit_factor,all_sharpe_per_bar,all_max_drawdown,all_exposure,all_trades_per_day,all_fee_to_gross_profit,bb_window,squeeze_quantile,rsi_min,atr_trail
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,2.0,35.0,70.0,1.2,14,1.2,10,contrarian_ok,14112,11,9,2,3,8,0.2727272727272727,0.003559276074767359,-0.009604293320195523,-0.0008761591985595559,-0.0009395676823526144,1.82626456599462,-11.56093779190211,-0.01203891257289702,0.0007794784580498867,1.1225285238466445,1.6765060161411778,6048,6,4,2,1,5,0.16666666666666666,-0.00016490512060596263,-0.0073423549752039685,-0.0012271511645226207,-0.001553940717613188,0.9241560526338823,-19.00230255753017,-0.0073423549752039685,0.001488095238095238,1.4288076732263935,3.627174091183794,20160,17,13,4,4,13,0.23529411764705882,0.003393784011310963,-0.01687613016455658,-0.0010000387159582848,-0.0015161584830606578,1.526279700144683,-13.912020149570141,-0.018483158310259706,0.000992063492063492,1.2143459496998859,2.069273136245757,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,2.0,35.0,70.0,1.2,14,1.2,20,off,14112,27,24,3,5,22,0.18518518518518517,0.002773007099463154,-0.029211856737647923,-0.0010956051912391785,-0.001830611921429991,1.1580832121694364,-15.75885888198046,-0.033491720526919955,0.001913265306122449,2.7552972858054,1.5690917137789064,6048,13,10,3,2,11,0.15384615384615385,-0.004393082603096343,-0.01981841330926859,-0.0015377627106547933,-0.0017655647507860627,0.5349493569183886,-25.623788179710196,-0.01981841330926859,0.002976190476190476,3.0957499586571857,3.088567692098713,20160,40,34,6,7,33,0.175,-0.0016322575528801009,-0.048451337396558714,-0.0012393063850492532,-0.0018036126938176455,0.9423491590545007,-18.653024203029943,-0.051397054319315516,0.002232142857142857,2.8572845875291435,1.8677207389395964,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,2.0,35.0,70.0,1.2,14,1.2,20,neutral_only,14112,11,9,2,3,8,0.2727272727272727,0.0035622786792368633,-0.009601331793049783,-0.0008754855093973019,-0.0017447331618526617,1.6674183959155928,-9.973972950168433,-0.013967651495675804,0.0007794784580498867,1.1225285238466445,1.4801329818474085,6048,4,2,2,1,3,0.25,-0.00012017197449643024,-0.004911109087416765,-0.0012295616633876058,-0.0016408616169233602,0.9326690437790917,-14.56653639265994,-0.005346721236516472,0.000992063492063492,0.9525384488175956,2.930485646312244,20160,15,11,4,4,11,0.26666666666666666,0.0034416786186779458,-0.014465287692646323,-0.0009699058171280495,-0.0017447331618526617,1.4857957186919548,-11.1196154545275,-0.01794630961740762,0.0008432539682539683,1.0714817203234288,1.705179831715177,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,2.0,35.0,70.0,1.2,14,1.2,20,contrarian_ok,14112,11,9,2,3,8,0.2727272727272727,0.0035622786792368633,-0.009601331793049783,-0.0008754855093973019,-0.0017447331618526617,1.6674183959155928,-9.973972950168433,-0.013967651495675804,0.0007794784580498867,1.1225285238466445,1.4801329818474085,6048,6,4,2,2,4,0.3333333333333333,0.002612502310274767,-0.004581573815930273,-0.0007640032386693591,-0.001553940717613188,2.2179114965993,-10.633440952654372,-0.004581573815930273,0.001488095238095238,1.4288076732263935,1.5113654875156226,20160,17,13,4,5,12,0.29411764705882354,0.0061840874507912424,-0.014138916398639068,-0.0008361388256109692,-0.0015917229521657183,1.8251500941425922,-10.175706344048747,-0.017190854561745073,0.000992063492063492,1.2143459496998859,1.491007738646505,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,2.0,35.0,70.0,1.5,14,0.8,10,off,14112,25,22,3,6,19,0.24,0.0062088916447806675,-0.02353943570078787,-0.0009513373569112179,-0.0015631554412349968,1.6000400207215515,-16.773428906934043,-0.026093183480892845,0.0017715419501133788,2.5512011905605556,1.8097561968056857,6048,14,11,3,1,13,0.07142857142857142,-0.007257277352901936,-0.02381443767800573,-0.0017198661489331787,-0.0018850055271107046,0.21429189834099244,-32.146462200264416,-0.02381443767800573,0.0026455026455026454,3.3338845708615845,8.463406212762186,20160,39,33,6,7,32,0.1794871794871795,-0.00109344535684186,-0.04679329495432172,-0.0012272194873806398,-0.0017134394625334603,0.9459033457877317,-21.976410462409483,-0.04850127524046255,0.002033730158730159,2.7858524728409146,2.5213024626425167,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,2.0,35.0,70.0,1.5,14,0.8,10,neutral_only,14112,10,8,2,3,7,0.3,0.005426450001131844,-0.006567274104539833,-0.0006580253567175941,-0.0006839171543336008,3.208741389881078,-9.643509327739805,-0.00900935904535316,0.0007086167800453515,1.020480476224222,1.5240963783101615,6048,4,2,2,0,4,0.0,-0.0007772622820504393,-0.005565834450163121,-0.001394305940027034,-0.001493907744615518,0.33616025408220396,-18.045135693939628,-0.005565834450163121,0.0008267195767195767,0.9525384488175956,12.195849504949008,20160,14,10,4,3,11,0.21428571428571427,0.004644969944170185,-0.01209655619424832,-0.0008683912376631483,-0.0011751700021964894,2.280847254391429,-12.258439498955067,-0.013711397098984612,0.000744047619047619,1.0000496056352002,2.0321529309087243,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,2.0,35.0,70.0,1.5,14,0.8,10,contrarian_ok,14112,10,8,2,3,7,0.3,0.005426450001131844,-0.006567274104539833,-0.0006580253567175941,-0.0006839171543336008,3.208741389881078,-9.643509327739805,-0.00900935904535316,0.0007086167800453515,1.020480476224222,1.5240963783101615,6048,5,3,2,1,4,0.2,0.0008129406166901276,-0.005176573274726759,-0.0010371567790372837,-0.0014107723220403645,1.6954355230550635,-16.625211229782636,-0.005176573274726759,0.0011574074074074073,1.1906730610219944,3.0226450759864947,20160,15,11,4,4,11,0.26666666666666666,0.006243801999432419,-0.01170985140364944,-0.0007844024974908239,-0.0009395676823526144,2.719917028566935,-11.828356633233541,-0.013325324421491258,0.0008432539682539683,1.0714817203234288,1.8258292378639032,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,2.0,35.0,70.0,1.5,14,0.8,20,off,14112,25,22,3,5,20,0.2,0.006073997944817888,-0.023670517993997775,-0.0009560361150830174,-0.0017134394625334603,1.4629997169076974,-14.00454941148243,-0.028831278646956116,0.0017715419501133788,2.5512011905605556,1.5566543475623522,6048,14,11,3,2,12,0.14285714285714285,-0.0044995715782654155,-0.02109946870363566,-0.0015213741807103523,-0.0018850055271107046,0.5142859407824111,-27.56842350625801,-0.02109946870363566,0.0026455026455026454,3.3338845708615845,3.526519470869786,20160,39,33,6,7,32,0.1794871794871795,0.0015470959780332638,-0.04427055134402025,-0.0011589779847953942,-0.0017189056403940294,1.0713071915064791,-18.22472299469325,-0.04737924263332327,0.002033730158730159,2.7858524728409146,1.9470789708202942,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,2.0,35.0,70.0,1.5,14,0.8,20,neutral_only,14112,10,8,2,3,7,0.3,0.005439224032636192,-0.0065546424799569625,-0.0006563195919968333,-0.0015737822093526354,2.5617105567673626,-7.851515440924262,-0.010934393965159606,0.0007086167800453515,1.020480476224222,1.3455754380430986,6048,4,2,2,1,3,0.25,0.0004656585723288309,-0.004327384486438435,-0.0010832116284417092,-0.001493907744615518,1.3990035656687703,-14.421036056137906,-0.004763252168013876,0.0008267195767195767,0.9525384488175956,2.930485646312244,20160,14,10,4,4,10,0.2857142857142857,0.005907415426262608,-0.010853662508213402,-0.0007782887452667978,-0.001570099304212834,2.2690913887820234,-9.559638317294658,-0.0143474411084058,0.000744047619047619,1.0000496056352002,1.5915011762674987,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,2.0,35.0,70.0,1.5,14,0.8,20,contrarian_ok,14112,10,8,2,3,7,0.3,0.005439224032636192,-0.0065546424799569625,-0.0006563195919968333,-0.0015737822093526354,2.5617105567673626,-7.851515440924262,-0.010934393965159606,0.0007086167800453515,1.020480476224222,1.3455754380430986,6048,5,3,2,2,3,0.4,0.0035930643715238464,-0.0024097686396418183,-0.00048137926801336984,-0.0014107723220403645,4.06892962244806,-6.60033316921868,-0.0029855906403800647,0.0011574074074074073,1.1906730610219944,1.259471239596352,20160,15,11,4,5,10,0.3333333333333333,0.009051831886240258,-0.008948615947706573,-0.0005980061506690121,-0.0015631554412349968,2.9410332858363653,-7.471231228583899,-0.012586898566772087,0.0008432539682539683,1.0714817203234288,1.3155950635116223,,,,
