symbol,strategy,bb_window,squeeze_quantile,volume_multiple,rsi_min,atr_period,atr_stop,atr_trail,max_hold,markov_gate,train_bars,train_trades,train_long_trades,train_short_trades,train_wins,train_losses,train_win_rate,train_gross_total_return,train_net_total_return,train_avg_trade_return_net,train_median_trade_return_net,train_profit_factor,train_sharpe_per_bar,train_max_drawdown,train_exposure,train_trades_per_day,train_fee_to_gross_profit,test_bars,test_trades,test_long_trades,test_short_trades,test_wins,test_losses,test_win_rate,test_gross_total_return,test_net_total_return,test_avg_trade_return_net,test_median_trade_return_net,test_profit_factor,test_sharpe_per_bar,test_max_drawdown,test_exposure,test_trades_per_day,test_fee_to_gross_profit,all_bars,all_trades,all_long_trades,all_short_trades,all_wins,all_losses,all_win_rate,all_gross_total_return,all_net_total_return,all_avg_trade_return_net,all_median_trade_return_net,all_profit_factor,all_sharpe_per_bar,all_max_drawdown,all_exposure,all_trades_per_day,all_fee_to_gross_profit
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,1.2,1.0,40,off,14112,92,41,51,2,90,0.021739130434782608,0.0012579477360783464,-0.10345575562529641,-0.0011862506470971723,-0.0012815356729790827,1.0993810533241517,-55.46908205450042,-0.10345575562529641,0.007582199546485261,9.388420381262845,7.889588176194103,6048,46,20,26,1,45,0.021739130434782608,0.0037056995340736254,-0.050224708885648894,-0.001119485037325994,-0.0012451470594568514,1.7749836818635856,-58.8258351310597,-0.050224708885648894,0.009093915343915343,10.95419216140235,6.507330182047011,20160,138,61,77,3,135,0.021739130434782608,0.004968308846491354,-0.1484844293021199,-0.0011639954438401128,-0.0012686975616477347,1.2838042516906474,-56.493918473182944,-0.1484844293021199,0.008035714285714285,9.857631826975545,7.367902533868576
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,1.2,1.0,40,trend_only,14112,48,10,38,2,46,0.041666666666666664,0.0018421506243582186,-0.05426410311491958,-0.0011615332420312418,-0.0013229366392870855,1.2552240769817622,-38.93431237973572,-0.05426410311491958,0.003897392290249433,4.8983062858762665,6.343019433202727,6048,12,7,5,1,11,0.08333333333333333,0.0026915030704672827,-0.011649150906631767,-0.0009757501522870995,-0.0012198370752304,3.506357444546319,-26.451570336052956,-0.011649150906631767,0.0023148148148148147,2.857615346452787,3.8250393782320407,20160,60,17,43,3,57,0.05,0.004538611848887708,-0.06528112329555269,-0.0011243766240824138,-0.0012755168262132066,1.5461411499868367,-35.63896564686048,-0.06528112329555269,0.0034226190476190476,4.285926881293715,5.605068786638745
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,1.2,1.5,20,off,14112,88,39,49,5,83,0.056818181818181816,0.003201148471437376,-0.09738895311723039,-0.001163515691563238,-0.0013567924862113656,1.197267906500071,-51.45738265807825,-0.09738895311723039,0.007582199546485261,8.980228190773156,5.419262924085484,6048,45,20,25,2,43,0.044444444444444446,0.0031738864517547594,-0.049588058083532616,-0.0011294538793438853,-0.0012212477050045566,1.5382277707200798,-57.37602059947306,-0.049588058083532616,0.009093915343915343,10.71605754919795,5.951871737782289,20160,133,59,74,7,126,0.05263157894736842,0.00638519500495649,-0.14214768213689133,-0.0011519910182559386,-0.0012995452200569512,1.2879634781955154,-53.27170491174064,-0.14214768213689133,0.008035714285714285,9.500471253534402,5.588466006995532
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,1.2,1.5,20,trend_only,14112,46,9,37,5,41,0.10869565217391304,0.006905014547740285,-0.04719366230395783,-0.0010501470389060504,-0.0013129164921197522,1.8668682992278263,-34.396844687567395,-0.04719366230395783,0.003897392290249433,4.694210190631423,3.7183935863550364,6048,12,7,5,2,10,0.16666666666666666,0.0035831708669253892,-0.010769180972957204,-0.0009015702089685021,-0.001009158083690419,2.908718186278709,-24.13893898411209,-0.011655225683568027,0.0023148148148148147,2.857615346452787,2.6386344995113626,20160,58,16,42,7,51,0.1206896551724138,0.01051292726162889,-0.05745460618678688,-0.001019407005125868,-0.0012846973026299435,2.0657603487290452,-31.659988274350447,-0.05745460618678688,0.0034226190476190476,4.1430626519172575,3.4281511901951296
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,1.2,1.5,40,off,14112,87,39,48,5,82,0.05747126436781609,0.0029012544840796295,-0.09657499320210072,-0.0011665107477409015,-0.0013588344107088523,1.1790162058961446,-50.466474844963834,-0.09657499320210072,0.007582199546485261,8.878180143150733,5.440619690534744,6048,45,20,25,2,43,0.044444444444444446,0.0031738864517547594,-0.049588058083532616,-0.0011294538793438853,-0.0012212477050045566,1.5382277707200798,-57.37602059947306,-0.049588058083532616,0.009093915343915343,10.71605754919795,5.951871737782289,20160,132,59,73,7,125,0.05303030303030303,0.00608434918813483,-0.14137408491331083,-0.001153877724423737,-0.0013174274707606003,1.2745667432177457,-52.57443625794284,-0.14137408491331083,0.008035714285714285,9.429039138846173,5.604745147652899
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,50,14,1.2,1.5,40,trend_only,14112,45,9,36,5,40,0.1111111111111111,0.006604013337600856,-0.04633443709455631,-0.00105341817745715,-0.0013353097214642495,1.8295118446227965,-33.05295713999418,-0.04633443709455631,0.003897392290249433,4.592162143009,3.7118335678133967,6048,12,7,5,2,10,0.16666666666666666,0.0035831708669253892,-0.010769180972957204,-0.0009015702089685021,-0.001009158083690419,2.908718186278709,-24.13893898411209,-0.011655225683568027,0.0023148148148148147,2.857615346452787,2.6386344995113626,20160,57,16,41,7,50,0.12280701754385964,0.010210847512722498,-0.056604634129161835,-0.001021450184091119,-0.001290523262775255,2.0355353455075975,-30.650456714634647,-0.056604634129161835,0.0034226190476190476,4.071630537229029,3.4190709921679705
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,55,14,0.8,1.0,20,off,14112,91,41,50,2,89,0.02197802197802198,0.0012520690212711738,-0.10238388553233135,-0.001186174123993019,-0.0012974846414968366,1.1099378499704902,-55.48852922163665,-0.10238388553233135,0.007511337868480726,9.286372333640422,8.596806787484612,6048,46,20,26,1,45,0.021739130434782608,0.004400685461924292,-0.04956627486596965,-0.001104441298707987,-0.0012451470594568514,2.0755213774215315,-58.92046635706075,-0.04956627486596965,0.009093915343915343,10.95419216140235,6.507330182047011,20160,137,61,76,3,134,0.021897810218978103,0.005658264445135286,-0.14687537258615968,-0.001158730985576147,-0.00127421240129446,1.3640302611910113,-56.535391892236056,-0.14687537258615968,0.00798611111111111,9.786199712287317,7.7601591966213235
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,55,14,0.8,1.0,20,trend_only,14112,47,10,37,2,45,0.0425531914893617,0.0011539381713232544,-0.053779087944316184,-0.0011753503090848926,-0.0013225230003056853,1.1746998103613084,-38.87225902134444,-0.053779087944316184,0.003826530612244898,4.796258238253844,7.23994559988816,6048,12,7,5,1,11,0.08333333333333333,0.0027700621061037545,-0.011571622364170753,-0.0009692236955232623,-0.0012198370752304,3.782249017503977,-26.464037383178468,-0.011571622364170753,0.0023148148148148147,2.857615346452787,3.8250393782320407,20160,59,17,42,3,56,0.05084745762711865,0.003927196757828044,-0.06472839901170568,-0.0011334262520893072,-0.0012827302572823373,1.5149976779211387,-35.59482892990094,-0.06472839901170568,0.003373015873015873,4.214494766605487,6.127333834121864
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,55,14,0.8,1.0,40,off,14112,91,41,50,2,89,0.02197802197802198,0.0012520690212711738,-0.10238388553233135,-0.001186174123993019,-0.0012974846414968366,1.1099378499704902,-55.48852922163665,-0.10238388553233135,0.007511337868480726,9.286372333640422,8.596806787484612,6048,46,20,26,1,45,0.021739130434782608,0.004400685461924292,-0.04956627486596965,-0.001104441298707987,-0.0012451470594568514,2.0755213774215315,-58.92046635706075,-0.04956627486596965,0.009093915343915343,10.95419216140235,6.507330182047011,20160,137,61,76,3,134,0.021897810218978103,0.005658264445135286,-0.14687537258615968,-0.001158730985576147,-0.00127421240129446,1.3640302611910113,-56.535391892236056,-0.14687537258615968,0.00798611111111111,9.786199712287317,7.7601591966213235
BTCUSDT,bb_vwap_momentum_breakout,20,0.1,1.2,55,14,0.8,1.0,40,trend_only,14112,47,10,37,2,45,0.0425531914893617,0.0011539381713232544,-0.053779087944316184,-0.0011753503090848926,-0.0013225230003056853,1.1746998103613084,-38.87225902134444,-0.053779087944316184,0.003826530612244898,4.796258238253844,7.23994559988816,6048,12,7,5,1,11,0.08333333333333333,0.0027700621061037545,-0.011571622364170753,-0.0009692236955232623,-0.0012198370752304,3.782249017503977,-26.464037383178468,-0.011571622364170753,0.0023148148148148147,2.857615346452787,3.8250393782320407,20160,59,17,42,3,56,0.05084745762711865,0.003927196757828044,-0.06472839901170568,-0.0011334262520893072,-0.0012827302572823373,1.5149976779211387,-35.59482892990094,-0.06472839901170568,0.003373015873015873,4.214494766605487,6.127333834121864
