symbol,strategy,vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_period,atr_stop,max_hold,markov_gate,train_bars,train_trades,train_long_trades,train_short_trades,train_wins,train_losses,train_win_rate,train_gross_total_return,train_net_total_return,train_avg_trade_return_net,train_median_trade_return_net,train_profit_factor,train_sharpe_per_bar,train_max_drawdown,train_exposure,train_trades_per_day,train_fee_to_gross_profit,test_bars,test_trades,test_long_trades,test_short_trades,test_wins,test_losses,test_win_rate,test_gross_total_return,test_net_total_return,test_avg_trade_return_net,test_median_trade_return_net,test_profit_factor,test_sharpe_per_bar,test_max_drawdown,test_exposure,test_trades_per_day,test_fee_to_gross_profit,all_bars,all_trades,all_long_trades,all_short_trades,all_wins,all_losses,all_win_rate,all_gross_total_return,all_net_total_return,all_avg_trade_return_net,all_median_trade_return_net,all_profit_factor,all_sharpe_per_bar,all_max_drawdown,all_exposure,all_trades_per_day,all_fee_to_gross_profit
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,35,70,1.5,14,0.8,10,off,14112,40,37,3,8,32,0.2,0.00011945600329199557,-0.046779725520204485,-0.0011963193581042268,-0.0017051497086867028,1.0073244121009062,-27.512509333629296,-0.046779725520204485,0.003259637188208617,4.081921904896888,2.370615355670129,6048,21,17,4,5,16,0.23809523809523808,0.0030172775977288513,-0.021954220592813933,-0.001055621241558478,-0.0015184907286413184,1.3043148854455693,-26.384825005124657,-0.021954220592813933,0.004133597883597883,5.0008268562923766,1.939182524514,20160,61,54,7,13,48,0.21311475409836064,0.0031370940329435992,-0.06770693369967662,-0.0011478823015884777,-0.0016620728115551919,1.1057474314121016,-27.102538682357686,-0.06770693369967662,0.003521825396825397,4.357358995981944,2.201962434597299
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,35,70,1.5,14,0.8,10,neutral_only,14112,7,7,0,2,5,0.2857142857142857,0.0013904843277965373,-0.006989320090866724,-0.0010010590188981527,-0.001685811574780226,1.591953587260791,-11.918643110010953,-0.006989320090866724,0.000496031746031746,0.7143363333569556,2.2429223857899774,6048,6,5,1,2,4,0.3333333333333333,0.0028121059306909224,-0.00438316393038829,-0.0007308782376048176,-0.0010410340368539816,2.2629321415856327,-10.541193078516896,-0.00438316393038829,0.0011574074074074073,1.4288076732263935,1.4275921494851005,20160,13,12,1,4,9,0.3076923076923077,0.004206500447712536,-0.011341848685535005,-0.0008763601967627672,-0.0015184907286413184,1.9183768493784739,-11.01006318748169,-0.011341848685535005,0.0006944444444444445,0.9286174909469717,1.7750325449906479
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,35,70,1.5,14,0.8,10,contrarian_ok,14112,7,7,0,2,5,0.2857142857142857,0.0013904843277965373,-0.006989320090866724,-0.0010010590188981527,-0.001685811574780226,1.591953587260791,-11.918643110010953,-0.006989320090866724,0.000496031746031746,0.7143363333569556,2.2429223857899774,6048,6,5,1,2,4,0.3333333333333333,0.0028121059306909224,-0.00438316393038829,-0.0007308782376048176,-0.0010410340368539816,2.2629321415856327,-10.541193078516896,-0.00438316393038829,0.0011574074074074073,1.4288076732263935,1.4275921494851005,20160,13,12,1,4,9,0.3076923076923077,0.004206500447712536,-0.011341848685535005,-0.0008763601967627672,-0.0015184907286413184,1.9183768493784739,-11.01006318748169,-0.011341848685535005,0.0006944444444444445,0.9286174909469717,1.7750325449906479
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,35,70,1.5,14,0.8,20,off,14112,40,37,3,10,30,0.25,0.003001245382513673,-0.04402978524266332,-0.001124029950376533,-0.0017364401953882324,1.1338980223333353,-23.671786472197603,-0.045303510698938676,0.003259637188208617,4.081921904896888,1.8652583837665444,6048,21,17,4,6,15,0.2857142857142857,0.011562377240533994,-0.013611860561814737,-0.0006495999121980186,-0.0016807244999633918,1.9145413073409574,-11.260571370724385,-0.019393507355019213,0.004133597883597883,5.0008268562923766,1.0414569841382777,20160,61,54,7,16,45,0.26229508196721313,0.014598324154351916,-0.05704231850718822,-0.0009607015765773725,-0.0017353241814939346,1.4131280158763035,-18.4895192734701,-0.0638184240860098,0.003521825396825397,4.357358995981944,1.4660357110539397
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,35,70,1.5,14,0.8,20,neutral_only,14112,7,7,0,3,4,0.42857142857142855,0.003284994637510863,-0.00510840804942192,-0.0007305771021474326,-0.001685811574780226,2.3967789179843493,-8.083791201717537,-0.006433991971744768,0.000496031746031746,0.7143363333569556,1.4897612421460735,6048,6,5,1,2,4,0.3333333333333333,0.003583846726771478,-0.0036160442755683864,-0.000602004213167827,-0.0011221509225150183,2.500641593934678,-7.323233231443663,-0.0036160442755683864,0.0011574074074074073,1.4288076732263935,1.2042278060923972,20160,13,12,1,5,8,0.38461538461538464,0.0068806142815618365,-0.008705980095305876,-0.0006712357687722301,-0.0016807244999633918,2.449131021256116,-7.4209593986415125,-0.010026770647474592,0.0006944444444444445,0.9286174909469717,1.3428107551469204
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,35,70,1.5,14,0.8,20,contrarian_ok,14112,7,7,0,3,4,0.42857142857142855,0.003284994637510863,-0.00510840804942192,-0.0007305771021474326,-0.001685811574780226,2.3967789179843493,-8.083791201717537,-0.006433991971744768,0.000496031746031746,0.7143363333569556,1.4897612421460735,6048,6,5,1,2,4,0.3333333333333333,0.003583846726771478,-0.0036160442755683864,-0.000602004213167827,-0.0011221509225150183,2.500641593934678,-7.323233231443663,-0.0036160442755683864,0.0011574074074074073,1.4288076732263935,1.2042278060923972,20160,13,12,1,5,8,0.38461538461538464,0.0068806142815618365,-0.008705980095305876,-0.0006712357687722301,-0.0016807244999633918,2.449131021256116,-7.4209593986415125,-0.010026770647474592,0.0006944444444444445,0.9286174909469717,1.3428107551469204
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,35,70,1.5,14,1.2,10,off,14112,39,36,3,9,30,0.23076923076923078,-0.0019325757813059008,-0.046450741223599934,-0.0012673775683560294,-0.0017928619601338613,0.893215671369539,-25.42285191138489,-0.046450741223599934,0.003259637188208617,3.9798738572744665,2.129203150634505,6048,21,17,4,6,15,0.2857142857142857,0.0035082762169531545,-0.022649113244290198,-0.0009971140525268925,-0.001228988588159362,1.3460486325962948,-23.451696445342915,-0.022649113244290198,0.004133597883597883,5.0008268562923766,1.5205673636864698,20160,60,53,7,15,45,0.25,0.001568920425996545,-0.0680477863696356,-0.0011727853378158321,-0.0015213313403601091,1.0442275889550445,-24.638953032806064,-0.0680477863696356,0.003521825396825397,4.285926881293715,1.8675678958648652
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,35,70,1.5,14,1.2,10,neutral_only,14112,7,7,0,3,4,0.42857142857142855,0.0033659074941827516,-0.003832672901684875,-0.0008233991127365497,-9.536268925027674e-05,1.968318994543745,-7.436821252504775,-0.004072179432038303,0.000496031746031746,0.7143363333569556,1.567555314375192,6048,6,5,1,2,4,0.3333333333333333,0.0017882921310123923,-0.0065943719239235365,-0.0007795895047088577,-0.0010410340368539816,2.0005825784453295,-13.810737923409294,-0.0065943719239235365,0.0011574074074074073,1.4288076732263935,1.4275921494851005,20160,13,12,1,5,8,0.38461538461538464,0.005160218851080645,-0.010401770755031903,-0.0008031792936468457,-0.0005635773450666447,1.983830976292073,-9.767566136940951,-0.010401770755031903,0.0006944444444444445,0.9286174909469717,1.499694315688952
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,35,70,1.5,14,1.2,10,contrarian_ok,14112,7,7,0,3,4,0.42857142857142855,0.0033659074941827516,-0.003832672901684875,-0.0008233991127365497,-9.536268925027674e-05,1.968318994543745,-7.436821252504775,-0.004072179432038303,0.000496031746031746,0.7143363333569556,1.567555314375192,6048,6,5,1,2,4,0.3333333333333333,0.0017882921310123923,-0.0065943719239235365,-0.0007795895047088577,-0.0010410340368539816,2.0005825784453295,-13.810737923409294,-0.0065943719239235365,0.0011574074074074073,1.4288076732263935,1.4275921494851005,20160,13,12,1,5,8,0.38461538461538464,0.005160218851080645,-0.010401770755031903,-0.0008031792936468457,-0.0005635773450666447,1.983830976292073,-9.767566136940951,-0.010401770755031903,0.0006944444444444445,0.9286174909469717,1.499694315688952
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,35,70,1.5,14,1.2,20,off,14112,39,36,3,12,27,0.3076923076923077,0.0014401205394538596,-0.04322462441725394,-0.0011804208412474824,-0.0019867317638897694,1.0267512152519918,-21.447431051228186,-0.044499422662015675,0.003259637188208617,3.9798738572744665,1.5968550961668813,6048,21,17,4,7,14,0.3333333333333333,0.00922250743838049,-0.017077176364615254,-0.0007245896984576833,-0.0019210867499449768,1.582443144739745,-12.67236311341661,-0.0226451820492517,0.004133597883597883,5.0008268562923766,0.9290478458878582,20160,60,53,7,19,41,0.31666666666666665,0.010675909500221792,-0.059563646247401625,-0.0010208799412710532,-0.001957724563030082,1.235246052433906,-17.577298263990606,-0.06613690718399956,0.003521825396825397,4.285926881293715,1.2758684342797646
